keyword	no	token	pos
전주 여행	1	추천	NNG
전주 여행	1	추억	NNG
전주 여행	1	다양	NNG
전주 여행	1	체험	NNG
전주 여행	1	감성	NNG
전주 여행	1	추억	NNG
전주 여행	1	테마	NNG
전주 여행	1	박물관	NNG
전주 여행	1	유익	NNG
전주 여행	1	시간	NNG
전주 여행	1	전북	NNP
전주 여행	1	전북	NNP
전주 여행	1	투어	NNG
전주 여행	1	패스	NNG
전주 여행	1	통합	NNG
전주 여행	1	용권	NNG
전주 여행	1	전북	NNP
전주 여행	1	여행지	NNG
전주 여행	1	다양	NNG
전주 여행	1	체험	NNG
전주 여행	1	카페이	NNP
전주 여행	1	용추	NNG
전주 여행	1	필수	NNG
전주 여행	1	편안	NNG
전주 여행	1	감사	NNG
전주 여행	2	사람	NNG
전주 여행	2	호텔	NNG
전주 여행	2	가격	NNG
전주 여행	2	얼마	NNG
전주 여행	2	정도	NNG
전주 여행	2	맛집	NNG
전주 여행	2	카페	NNG
전주 여행	2	추천	NNG
전주 여행	2	계획	NNG
전주 여행	2	한옥	NNG
전주 여행	2	마을	NNG
전주 여행	2	근처	NNG
전주 여행	3	관련	NNG
전주 여행	3	질문	NNG
전주 여행	3	계획	NNG
전주 여행	3	선택	NNG
전주 여행	3	한옥마을	NNP
전주 여행	3	자연	NNG
전주 여행	3	경관	NNG
전주 여행	3	음식	NNG
전주 여행	3	동네	NNG
전주 여행	3	시간	NNG
전주 여행	3	한옥	NNG
전주 여행	3	마을	NNG
전주 여행	3	근처	NNG
전주 여행	3	장소	NNG
전주 여행	4	여학생	NNG
전주 여행	4	친구	NNG
전주 여행	4	안녕	NNG
전주 여행	4	여학생	NNG
전주 여행	4	친구	NNG
전주 여행	4	일본	NNP
전주 여행	4	애니	NNP
전주 여행	4	오타쿠	NNP
전주 여행	4	갈만	NNG
전주 여행	5	부모	NNG
전주 여행	5	부모	NNG
전주 여행	5	명소	NNG
전주 여행	5	식당	NNG
전주 여행	5	추천	NNG
전주 여행	5	부탁	NNG
전주 여행	5	한옥마을	NNP
전주 여행	5	완산구	NNP
전주 여행	5	덕진구	NNP
전주 여행	5	추억	NNG
전주 여행	5	장소	NNG
전주 여행	6	이번	NNG
전주 여행	6	여자	NNG
전주 여행	6	친구	NNG
전주 여행	6	경로	NNG
전주 여행	6	토요일	NNG
전주 여행	6	실내	NNG
전주 여행	6	데이트	NNG
전주 여행	6	가능	NNG
전주 여행	6	감사	NNG
전주 여행	6	숙소	NNG
전주 여행	6	한옥	NNG
전주 여행	6	마을	NNG
전주 여행	6	근처	NNG
전주 여행	6	한옥마을	NNP
전주 여행	6	구경	NNG
전주 여행	7	저녁	NNG
전주 여행	7	주천	NNG
전주 여행	7	산책	NNG
전주 여행	7	한옥	NNG
전주 여행	7	마을	NNG
전주 여행	7	근처	NNG
전주 여행	7	야경	NNG
전주 여행	7	일정	NNG
전주 여행	7	관심	NNG
전주 여행	7	테마	NNG
전주 여행	7	사진	NNG
전주 여행	7	카페	NNG
전주 여행	7	체험	NNG
전주 여행	7	추천	NNG
전주 여행	8	코스	NNG
전주 여행	8	추천	NNG
전주 여행	8	영화제	NNG
전주 여행	8	기간	NNG
전주 여행	8	일정	NNG
전주 여행	8	코스	NNG
전주 여행	8	추천	NNG
전주 여행	8	주목적	NNG
전주 여행	8	전주국	NNG
전주 여행	8	영화제	NNG
전주 여행	8	알짜배기	NNG
전주 여행	8	추천	NNG
전주 여행	9	커플	NNG
전주 여행	9	추천	NNG
전주 여행	9	숙소	NNG
전주 여행	9	거리	NNG
전주 여행	9	맛집	NNG
전주 여행	9	추천	NNG
전주 여행	9	감사	NNG
전주 여행	9	한옥마을	NNP
전주 여행	9	답변	NNG
전주 여행	9	도움	NNG
전주 여행	9	한옥마을	NNP
전주 여행	9	한옥마을	NNP
전주 여행	9	맛집	NNG
전주 여행	9	추천	NNG
전주 여행	10	추석	NNG
전주 여행	10	그때	NNG
전주 여행	10	한옥마을	NNP
전주 여행	10	관광지	NNG
전주 여행	10	추석	NNG
전주 여행	10	당일	NNG
전주 여행	10	이벤트	NNG
전주 여행	10	진행	NNG
전주 여행	10	한국	NNP
전주 여행	10	관광공사	NNP
전주 여행	10	숙박	NNG
전주 여행	10	세일	NNG
전주 여행	10	페스타	NNP
전주 여행	10	이벤트	NNG
전주 여행	10	진행	NNG
전주 여행	11	연령	NNG
전주 여행	11	렌트카	NNG
전주 여행	11	추천	NNG
전주 여행	11	이번	NNG
전주 여행	11	연령	NNG
전주 여행	11	자동차	NNG
전주 여행	11	추천	NNG
전주 여행	11	부탁	NNG
전주 여행	11	가격	NNG
전주 여행	11	렌트	NNG
전주 여행	11	정도	NNG
전주 여행	11	이상	NNG
전주 여행	11	렌트	NNG
전주 여행	11	가능	NNG
전주 여행	11	자동차	NNG
전주 여행	11	가격	NNG
전주 여행	12	포항	NNP
전주 여행	12	포항	NNP
전주 여행	12	기차	NNG
전주 여행	12	버스	NNG
전주 여행	12	안녕	NNG
전주 여행	12	포항	NNP
전주 여행	12	기차	NNG
전주 여행	12	버스	NNG
전주 여행	12	장단점	NNG
전주 여행	12	방법	NNG
전주 여행	12	결정	NNG
전주 여행	12	요소	NNG
전주 여행	12	고려	NNG
전주 여행	12	필요	NNG
전주 여행	13	펜션	NNG
전주 여행	13	한옥	NNG
전주 여행	13	이번	NNG
전주 여행	13	남자	NNG
전주 여행	13	친구	NNG
전주 여행	13	펜션	NNG
전주 여행	13	한옥	NNG
전주 여행	13	마을	NNG
전주 여행	13	근처	NNG
전주 여행	13	한옥	NNG
전주 여행	13	펜션	NNG
전주 여행	13	내부	NNG
전주 여행	13	정감	NNG
전주 여행	13	분위기	NNG
전주 여행	13	답변	NNG
전주 여행	13	부탁	NNG
전주 여행	14	주세요	NNP
전주 여행	14	한옥마을	NNP
전주 여행	14	완산구	NNP
전주 여행	14	덕진구	NNP
전주 여행	14	추억	NNG
전주 여행	14	장소	NNG
전주 여행	14	완산구	NNP
전주 여행	14	덕진구	NNP
전주 여행	14	여행지	NNG
전주 여행	15	엄마	NNG
전주 여행	15	계획	NNG
전주 여행	15	답변	NNG
전주 여행	15	부탁	NNG
전주 여행	15	기차	NNG
전주 여행	15	고속버스	NNG
전주 여행	15	도착	NNG
전주 여행	15	관광	NNG
전주 여행	15	이용	NNG
전주 여행	15	교통수단	NNG
전주 여행	15	숙소	NNG
전주 여행	15	추천	NNG
전주 여행	15	서울	NNP
전주 여행	16	당일치기	NNG
전주 여행	16	당일치기	NNG
전주 여행	16	계획	NNG
전주 여행	16	주역	NNP
전주 여행	16	한옥마을	NNP
전주 여행	16	방법	NNG
전주 여행	16	당일치기	NNG
전주 여행	16	코스	NNG
전주 여행	16	주역	NNP
전주 여행	16	한옥마을	NNP
전주 여행	16	방법	NNG
전주 여행	16	택시	NNG
전주 여행	16	버스	NNG
전주 여행	16	주역	NNP
전주 여행	16	한옥마을	NNP
전주 여행	16	택시	NNG
전주 여행	17	경비	NNG
전주 여행	17	보통	NNG
전주 여행	17	경비	NNG
전주 여행	17	얼마	NNG
전주 여행	17	정도	NNG
전주 여행	17	숙소	NNG
전주 여행	17	질문	NNG
전주 여행	17	도움	NNG
전주 여행	17	답변	NNG
전주 여행	17	예산	NNG
전주 여행	17	내외	NNG
전주 여행	17	숙소	NNG
전주 여행	18	커플	NNG
전주 여행	18	도움	NNG
전주 여행	18	남자	NNG
전주 여행	18	친구	NNG
전주 여행	18	이용	NNG
