	token	전주빈도	경주빈도
0	코스	481	446
1	여수	349	0
2	주달	304	0
3	추천	301	401
4	맛집	287	120
5	한옥마을	193	0
6	티비	177	0
7	국내	167	5
8	제주	152	5
9	봉이	127	0
10	언서	127	0
11	전문	127	10
12	제주도	127	0
13	마을	117	0
14	한옥	117	5
15	일정	80	118
16	질문	78	114
17	친구	78	44
18	부탁	75	105
19	당일치기	70	25
20	계획	61	154
21	숙소	60	139
22	공원	55	15
23	답변	55	106
24	이번	55	30
25	안녕	53	57
26	덕진	50	0
27	참고	45	56
28	버스	40	23
29	시간	39	23
30	동물원	38	0
31	근처	36	30
32	예정	35	40
33	이용	35	25
34	감사	33	0
35	비용	33	0
36	사람	32	10
37	가능	30	24
38	관광	30	15
39	남자	30	15
40	수목원	30	0
41	시작	30	15
42	시장	30	10
43	이동	30	14
44	전라도	30	0
45	정도	30	54
46	택시	30	55
47	터미널	30	25
48	갈만	29	15
49	관련	28	66
50	장소	28	25
51	강아지	25	0
52	관광지	25	25
53	남부	25	0
54	도움	25	20
55	렌트	25	15
56	부모	25	10
57	준비	25	45
58	혼자	25	20
59	대중교통	24	15
60	체험	24	10
61	가격	22	10
62	추억	22	30
63	호텔	22	7
64	가족	20	95
65	거리	20	10
66	기차	20	10
67	당일	20	21
68	문화	20	30
69	산책	20	0
70	아래	20	32
71	완산구	20	0
72	정보	20	10
73	주말	20	20
74	향교	20	0
75	얼마	17	5
76	카페	17	25
77	박물관	16	15
78	음식	16	0
79	경기전	15	0
80	경비	15	5
81	고등학교	15	0
82	교통	15	0
83	구경	15	0
84	대부분	15	5
85	덕진구	15	0
86	방법	15	0
87	벽화	15	0
88	서울	15	11
89	아이	15	45
90	여자	15	25
91	요소	15	5
92	자동차	15	0
93	주역	15	0
94	진행	15	0
95	추석	15	8
96	펜션	15	23
97	포함	15	10
98	포항	15	15
99	필요	15	5
100	한복	15	5
101	금요일	11	0
102	여행지	11	72
103	저녁	11	5
104	토요일	11	5
105	투어	11	30
106	고려	10	0
107	교통비	10	5
108	국립	10	15
109	기본	10	5
110	난장	10	0
111	다음	10	10
112	도착	10	25
113	동반	10	10
114	랜드	10	0
115	렌트카	10	10
116	명소	10	15
117	무리	10	0
118	바다	10	4
119	바닷가	10	5
120	반려	10	10
121	방문	10	36
122	복귀	10	0
123	볼거리	10	15
124	비빔	10	0
125	사진	10	0
126	사투리	10	0
127	생각	10	16
128	생략	10	0
129	소리	10	0
130	수단	10	0
131	숙박	10	0
132	순서	10	0
133	안내	10	0
134	연령	10	0
135	영화제	10	0
136	예상	10	5
137	완주	10	0
138	위주	10	14
139	이벤트	10	0
140	이상	10	0
141	자만	10	0
142	자차	10	5
143	전동성당	10	0
144	전시회	10	0
145	전통	10	5
146	점심	10	5
147	정리	10	2
148	지난주	10	0
149	지역	10	0
150	처음	10	15
151	초등	10	10
152	초코파이	10	0
153	최고봉	10	0
154	최소한	10	5
155	커플	10	0
156	크리스마스	10	0
157	학년	10	15
158	한국	10	10
159	한국도로공사	10	0
160	호수	10	0
161	자가용	9	0
162	내공	8	5
163	목대	8	0
164	수원	8	0
165	여학생	8	0
166	음식점	8	0
167	추가	8	0
168	가요	7	18
169	시외버스	6	5
170	테마	6	0
171	가보세요	5	0
172	가실	5	5
173	가운데	5	0
174	가을	5	10
175	갤러리	5	0
176	거북	5	0
177	걱정	5	0
178	건물	5	0
179	검색	5	10
180	게스트	5	15
181	결정	5	0
182	결제	5	0
183	경로	5	0
184	경험	5	15
185	계절	5	5
186	고궁	5	0
187	고등학생	5	20
188	고속버스	5	5
189	공간	5	0
190	공방	5	0
191	공연	5	0
192	공용	5	0
193	공장	5	0
194	관광공사	5	0
195	관심	5	5
196	광주	5	0
197	교동	5	5
198	교육	5	0
199	교통수단	5	0
200	구용	5	0
201	군산	5	0
202	그때	5	5
203	그램	5	0
204	금액	5	0
205	기간	5	5
206	기관	5	0
207	기지	5	0
208	기차표	5	0
209	기프	5	0
210	기회	5	0
211	김선용	5	0
212	날짜	5	5
213	내부	5	0
214	내외	5	0
215	다랭이	5	0
216	다윈	5	0
217	달인	5	0
218	답장	5	0
219	당장	5	0
220	대둔산	5	0
221	대여	5	5
222	대옥	5	0
223	대표	5	5
224	대학	5	0
225	더클래식	5	0
226	데이트	5	0
227	도로공사	5	0
228	도보	5	20
229	도시	5	20
230	독일	5	0
231	동물	5	0
232	동선	5	40
233	려인	5	0
234	리의	5	0
235	마감	5	0
236	말씀	5	10
237	맞춤	5	10
238	명품	5	0
239	문의	5	0
240	문자	5	7
241	문제	5	5
242	물관	5	0
243	미술관	5	5
244	반양	5	0
245	방지	5	0
246	방학	5	5
247	법률	5	0
248	변호	5	0
249	변호사	5	0
250	보리암	5	0
251	보통	5	0
252	본점	5	0
253	부분	5	0
254	부산	5	11
255	분위기	5	10
256	불편	5	0
257	블로거	5	10
258	블로그	5	11
259	사용	5	0
260	사이트	5	5
261	사회	5	0
262	상담	5	0
263	상당	5	0
264	상황	5	4
265	새만금	5	0
266	생일	5	0
267	생활	5	5
268	서신동	5	0
269	선착순	5	0
270	성미	5	0
271	세염	5	0
272	세일	5	0
273	소속	5	0
274	소요	5	0
275	수구	5	0
276	수정	5	0
277	수학여행	5	5
278	술값	5	0
279	슈퍼	5	0
280	스로	5	0
281	스타	5	0
282	스토리	5	0
283	시대	5	5
284	시설	5	0
285	시절	5	15
286	식당	5	40
287	식비	5	0
288	실내	5	10
289	실시간	5	0
290	아빠	5	31
291	아침	5	5
292	알짜배기	5	0
293	애견	5	0
294	야경	5	18
295	양식	5	0
296	어머니	5	29
297	억양	5	0
298	엄마	5	55
299	여행객	5	0
300	역사	5	45
301	연극	5	0
302	연못	5	0
303	연인	5	0
304	예산	5	5
305	예술	5	0
306	예약	5	15
307	예약금	5	0
308	오전	5	10
309	오픈	5	0
310	오후	5	10
311	왕복	5	0
312	요약	5	0
313	요일	5	0
314	욕조	5	0
315	운송	5	0
316	월요일	5	0
317	웨이팅	5	0
318	유명	5	0
319	유적지	5	1
320	음료	5	0
321	의견	5	10
322	의외	5	0
323	이동은	5	0
324	인근	5	10
325	인당	5	0
326	일반	5	0
327	일식	5	0
328	입장료	5	5
329	장단점	5	0
330	전라	5	0
331	전라북도	5	0
332	전망	5	0
333	전일	5	0
334	전주국	5	0
335	전주비빔밥	5	0
336	전주시	5	0
337	전주식	5	0
338	전통문화	5	0
339	정감	5	0
340	제시	5	5
341	조선	5	0
342	조언	5	10
343	조정	5	0
344	주가	5	0
345	주만	5	0
346	주목적	5	0
347	주문	5	0
348	주박	5	0
349	주세요	5	0
350	주식	5	0
351	주의	5	0
352	주이	5	0
353	주천	5	0
354	중간	5	5
355	중순	5	7
356	중식	5	0
357	중심	5	0
358	지방	5	0
359	지식	5	0
360	쭈니	5	6
361	채택	5	15
362	천차만별	5	0
363	첨부	5	20
364	체증	5	0
365	친정	5	10
366	침대	5	0
367	케이블카	5	0
368	코로나	5	0
369	태교	5	0
370	토종	5	0
371	통상	5	0
372	트레	5	0
373	팀조	5	0
374	팔복	5	0
375	페스타	5	0
376	편리	5	0
377	평일	5	15
378	평점	5	0
379	플랫	5	0
380	피큐어	5	0
381	하늘	5	0
382	하루	5	20
383	하우스	5	15
384	하트	5	0
385	한정식	5	0
386	항목	5	0
387	해설	5	0
388	허락	5	0
389	현대	5	5
390	현장	5	0
391	현재	5	0
392	현황	5	0
393	확인	5	16
394	환급	5	0
395	회관	5	0
396	휴가	5	0
397	휴무	5	0
398	흐노	5	0
399	라면	4	0
400	애니	4	0
401	오타쿠	4	0
402	일본	4	0
403	학생	4	5
404	경관	3	5
405	동네	3	0
406	떡갈비	3	0
407	레일바이크	3	0
408	선택	3	15
409	수지	3	0
410	아중	3	0
411	자연	3	5
412	전북	3	0
413	주변	3	0
414	다양	2	0
415	모주	2	0
416	감성	1	7
417	용권	1	0
418	용추	1	0
419	유익	1	0
420	찜질방	1	0
421	카페이	1	0
422	통합	1	0
423	패스	1	0
424	편안	1	10
425	필수	1	10
426	황리	0	95
